Id,OverallQual,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,GarageCars,GarageArea,YrSold
1461,5,882.0,896,896,1,1.0,730.0,2010
1462,6,1329.0,1329,1329,1,1.0,312.0,2010
1463,5,928.0,928,1629,2,2.0,482.0,2010
1464,6,926.0,926,1604,2,2.0,470.0,2010
1465,8,1280.0,1280,1280,2,2.0,506.0,2010
1466,6,763.0,763,1655,2,2.0,440.0,2010
1467,6,1168.0,1187,1187,2,2.0,420.0,2010
1468,6,789.0,789,1465,2,2.0,393.0,2010
1469,7,1300.0,1341,1341,1,2.0,506.0,2010
1470,4,882.0,882,882,1,2.0,525.0,2010
1471,7,1405.0,1337,1337,2,2.0,511.0,2010
1472,6,483.0,483,987,1,1.0,264.0,2010
1473,5,525.0,525,1092,1,1.0,320.0,2010
1474,6,855.0,855,1456,2,2.0,440.0,2010
1475,7,836.0,836,836,1,1.0,308.0,2010
1476,9,1590.0,1627,2334,2,3.0,751.0,2010
1477,8,1544.0,1544,1544,2,3.0,868.0,2010
1478,9,1698.0,1698,1698,2,3.0,730.0,2010
1479,8,1822.0,1822,1822,2,3.0,678.0,2010
1480,9,2846.0,2696,2696,2,3.0,958.0,2010
1481,8,1671.0,1687,2250,2,3.0,756.0,2010
1482,8,1370.0,1370,1370,2,2.0,484.0,2010
1483,6,1324.0,1324,1324,2,2.0,430.0,2010
1484,7,1145.0,1145,1145,2,2.0,437.0,2010
1485,7,384.0,744,1374,2,2.0,400.0,2010
1486,7,847.0,847,1733,2,2.0,433.0,2010
1487,8,1629.0,1645,2475,2,3.0,962.0,2010
1488,8,1595.0,1595,1595,2,3.0,880.0,2010
1489,7,1218.0,1218,1218,2,2.0,676.0,2010
1490,6,1468.0,1468,1468,2,2.0,528.0,2010
1491,7,831.0,831,1659,2,2.0,484.0,2010
1492,5,816.0,1012,1012,1,1.0,429.0,2010
1493,6,1208.0,1494,1494,2,2.0,461.0,2010
1494,8,1231.0,1251,2349,2,3.0,762.0,2010
1495,8,1390.0,1402,2225,2,3.0,713.0,2010
1496,7,1488.0,1488,1488,2,2.0,506.0,2010
1497,7,840.0,840,1680,2,2.0,588.0,2010
1498,7,600.0,600,1200,2,2.0,480.0,2010
1499,7,600.0,600,1200,2,2.0,480.0,2010
1500,6,600.0,600,1236,2,2.0,480.0,2010
1501,6,756.0,756,1512,2,2.0,440.0,2010
1502,7,530.0,530,1080,2,2.0,496.0,2010
1503,8,1642.0,1418,1418,1,3.0,852.0,2010
